"id","country_id","name","enabled","deleted_at","created_at","updated_at"
"368","AR","Laborde","1",NULL,NULL,NULL
"369","AR","Laboulaye","1",NULL,NULL,NULL
"370","AR","Laferrere","1",NULL,NULL,NULL
"371","AR","Laguna Alsina","1",NULL,NULL,NULL
"372","AR","Lanus","1",NULL,NULL,NULL
"373","AR","Larroque","1",NULL,NULL,NULL
"374","AR","Las Catitas","1",NULL,NULL,NULL
"375","AR","Las Flores","1",NULL,NULL,NULL
"376","AR","Las Heras","1",NULL,NULL,NULL
"377","AR","Las Perdices","1",NULL,NULL,NULL
"378","AR","Las Rosas","1",NULL,NULL,NULL
"379","AR","Las Talitas","1",NULL,NULL,NULL
"380","AR","Las Varillas","1",NULL,NULL,NULL
"381","AR","Lavalle","1",NULL,NULL,NULL
"382","AR","Leandro N. Alem","1",NULL,NULL,NULL
"383","AR","Leones","1",NULL,NULL,NULL
"384","AR","Libertad","1",NULL,NULL,NULL
"385","AR","Lima","1",NULL,NULL,NULL
"386","AR","Liniers","1",NULL,NULL,NULL
"387","AR","Llavallol","1",NULL,NULL,NULL
"388","AR","Lobos","1",NULL,NULL,NULL
"389","AR","Lomas de Zamora","1",NULL,NULL,NULL
"390","AR","Lomas del Mirador","1",NULL,NULL,NULL
"391","AR","Longchamps","1",NULL,NULL,NULL
"392","AR","Los Antiguos","1",NULL,NULL,NULL
"393","AR","Los Cardales","1",NULL,NULL,NULL
"394","AR","Los Molinos","1",NULL,NULL,NULL
"395","AR","Los Polvorines","1",NULL,NULL,NULL
"396","AR","Luis Guillon","1",NULL,NULL,NULL
"397","AR","Lujan de Cuyo","1",NULL,NULL,NULL
"398","AR","Luque","1",NULL,NULL,NULL
"399","AR","Luzuriaga","1",NULL,NULL,NULL
"400","AR","Lynch","1",NULL,NULL,NULL
"401","AR","Macachin","1",NULL,NULL,NULL
"402","AR","Magdalena","1",NULL,NULL,NULL
"403","AR","Maggiolo","1",NULL,NULL,NULL
"404","AR","Maipu","1",NULL,NULL,NULL
"405","AR","Manantial","1",NULL,NULL,NULL
"406","AR","Manfredi","1",NULL,NULL,NULL
"407","AR","Manuel J. Cobo","1",NULL,NULL,NULL
"408","AR","Maquinista Savio","1",NULL,NULL,NULL
"409","AR","Mar de Ajo","1",NULL,NULL,NULL
"410","AR","Mar del Plata","1",NULL,NULL,NULL
"411","AR","Mar del Tuyu","1",NULL,NULL,NULL
"412","AR","Marcos Juarez","1",NULL,NULL,NULL
"413","AR","Marcos Paz","1",NULL,NULL,NULL
"414","AR","Margarita","1",NULL,NULL,NULL
"415","AR","Maria Ignacia","1",NULL,NULL,NULL
"416","AR","Maria Juana","1",NULL,NULL,NULL
"417","AR","Mariano Acosta","1",NULL,NULL,NULL
"418","AR","Mariano J. Haedo","1",NULL,NULL,NULL
"419","AR","Mariano Moreno","1",NULL,NULL,NULL
"420","AR","Martinez","1",NULL,NULL,NULL
"421","AR","Matheu","1",NULL,NULL,NULL
"422","AR","Mayor Buratovich","1",NULL,NULL,NULL
"423","AR","Melincue","1",NULL,NULL,NULL
"424","AR","Mendiolaza","1",NULL,NULL,NULL
"425","AR","Mendoza","1",NULL,NULL,NULL
